id_aves,codigo,sinonimo,nombre,morfometria,endenismo,migraciòn,ecologia,behaviour,anio_publicacion,anio_colleccion,familia_id_familia,especies_id_especies,uicn_id_UICN
21481,UTPL_A0255,,Lineated Woodpecker,,,,,,,,55,244,8
21482,UTPL_A0205,,Tropical Pewee,,,,,,,,81,203,8
21483,UTPL_A0812,,Black-tailed Trogon,,,,,,,,79,790,8
21484,UTPL_A0940,,Wing-barred Seedeater,,,,,,,,25,692,8
21485,UTPL_A0940,,Wing-barred Seedeater,,,,,,,,25,692,8
21486,UTPL_A0940,,Wing-barred Seedeater,,,,,,,,25,692,8
21487,UTPL_A0940,,Wing-barred Seedeater,,,,,,,,25,692,8
21488,UTPL_A0126,,Orange-fronted Barbet,,B-Ch,,,,,,11,127,8
21489,UTPL_A0664,,Crimson-breasted Finch,,BT,MI,,,,,73,645,1
21490,UTPL_A0692,,Unicolored Tapaculo,,,,,,,,64,672,8
21491,UTPL_A0903,,White-necked Puffbird,,,,,,,,9,473,8
21492,UTPL_A0141,,Jet Antbird,,,,,,,,71,140,8
21493,UTPL_A0932,,Rose-throated Becard,,,,,,,,76,505,8
21494,UTPL_A0262,,Yellow-bellied Elaenia,,,,,,,,81,252,8
21495,UTPL_A0426,,Black-cheeked Woodpecker,,,,,,,,55,399,8
21496,UTPL_A0426,,Black-cheeked Woodpecker,,,,,,,,55,399,8
21497,UTPL_A0296,,Pale-legged Hornero,,,,,,,,31,284,8
21498,UTPL_A0823,,Ecuadorian Thrush,,BT,,,,,,80,800,8
21499,UTPL_A0122,Campylorhynchus fasciatus,Fasciated Wren,,BT,,,,,,78,123,1
21500,UTPL_A0296,,Pale-legged Hornero,,,,,,,,31,284,8
21501,UTPL_A0252,,Scrub Blackbird,,,,,,,,37,243,1
21502,UTPL_A0560,,Neotropic Cormorant,,,,,,,,53,544,8
21503,UTPL_A0627,,Gray-breasted Martin,,,,,,,,35,611,8
21504,UTPL_A0829,,Tropical Kingbird,,,MA ? C,,,,,81,807,8
21505,UTPL_A0259,,Snowy Egret,,,,,,,,8,249,8
21506,UTPL_A0102,,Striated Heron,,,,,,,,8,103,8
21507,UTPL_A0047,,Great Egret,,,MB - C ?,,,,,8,51,8
21508,UTPL_A0419,,Ringed Kingfisher,,,,,,,,2,393,8
21509,UTPL_A0555,,Long-billed Hermit,,BT,,,,,,77,539,8
21510,UTPL_A0555,,Long-billed Hermit,,BT,,,,,,77,539,8
21511,UTPL_A0555,,Long-billed Hermit,,BT,,,,,,77,539,8
21512,UTPL_A0555,,Long-billed Hermit,,BT,,,,,,77,539,8
21513,UTPL_A0555,,Long-billed Hermit,,BT,,,,,,77,539,8
21514,UTPL_A0555,,Long-billed Hermit,,BT,,,,,,77,539,8
21515,UTPL_A0823,,Ecuadorian Thrush,,BT,,,,,,80,800,8
21516,UTPL_A0303,,Pearl Kite,,,,,,,,1,289,8
21517,UTPL_A0786,,Blue-gray Tanager,,,,,,,,73,765,1
21518,UTPL_A0437,,Long-tailed Mockingbird,,,,,,,,42,412,1
21519,UTPL_A0292,,Pacific Parrotlet,,BT,,,,,,60,280,1
21520,UTPL_A0544,,Peruvian Pelican,,,DP,,,,,50,531,8
21521,UTPL_A0829,,Tropical Kingbird,,,MA ? C,,,,,81,807,8
21522,UTPL_A0102,,Striated Heron,,,,,,,,8,103,8
21523,UTPL_A0102,,Striated Heron,,,,,,,,8,103,8
21524,UTPL_A0560,,Neotropic Cormorant,,,,,,,,53,544,8
21525,UTPL_A0543,,Brown Pelican,,,,,,,,50,530,8
21526,UTPL_A0293,,Magnificent Frigatebird,,,,,,,,29,281,8
21527,UTPL_A0292,,Pacific Parrotlet,,BT,,,,,,60,280,1
21528,UTPL_A0293,,Magnificent Frigatebird,,,,,,,,29,281,8
21529,UTPL_A0364,,White-edged Oriole,,BT,,,,,,37,342,1
21530,UTPL_A0260,,Tricolored Heron,,,MB - C ,,,,,8,250,8
21531,UTPL_A0398,,Laughing Gull,,,MB,,,,,40,373,8
21532,UTPL_A0293,,Magnificent Frigatebird,,,,,,,,29,281,8
21533,UTPL_A0398,,Laughing Gull,,,MB,,,,,40,373,8
21534,UTPL_A0292,,Pacific Parrotlet,,BT,,,,,,60,280,1
21535,UTPL_A0296,,Pale-legged Hornero,,,,,,,,31,284,8
21536,UTPL_A0296,,Pale-legged Hornero,,,,,,,,31,284,8
21537,UTPL_A0355,,Black-necked Stilt,,,,,,,,63,337,8
21538,UTPL_A0292,,Pacific Parrotlet,,BT,,,,,,60,280,1
21539,UTPL_A0460,,Baird's Flycatcher,,BT,,,,,,81,437,1
21540,UTPL_A0543,,Brown Pelican,,,,,,,,50,530,8
21541,UTPL_A0477,,Rusty-margined Flycatcher,,,,,,,,81,456,8
21542,UTPL_A0437,,Long-tailed Mockingbird,,,,,,,,42,412,1
21543,UTPL_A0543,,Brown Pelican,,,,,,,,50,530,8
21544,UTPL_A0543,,Brown Pelican,,,,,,,,50,530,8
21545,UTPL_A0437,,Long-tailed Mockingbird,,,,,,,,42,412,1
21546,UTPL_A0807,,House Wren,,,,,,,,78,784,1
21547,UTPL_A0807,,House Wren,,,,,,,,78,784,1
21548,UTPL_A0804,,Greater Yellowlegs,,,MB,,,,,66,781,8
21549,UTPL_A0829,,Tropical Kingbird,,,MA ? C,,,,,81,807,8
21550,UTPL_A0786,,Blue-gray Tanager,,,,,,,,73,765,1
21551,UTPL_A0786,,Blue-gray Tanager,,,,,,,,73,765,1
21552,UTPL_A0786,,Blue-gray Tanager,,,,,,,,73,765,1
21553,UTPL_A0771,,Royal Tern,,,,,,,,40,754,8
21554,UTPL_A0829,,Tropical Kingbird,,,MA ? C,,,,,81,807,8
21555,UTPL_A0732,,Blue-footed Booby,,,,,,,,70,715,8
21556,UTPL_A0144,Acestrura bombus,Little Woodstar,,BT,,,,,,77,143,8
21557,UTPL_A0477,,Rusty-margined Flycatcher,,,,,,,,81,456,8
21558,UTPL_A0262,,Yellow-bellied Elaenia,,,,,,,,81,252,8
21559,UTPL_A0296,,Pale-legged Hornero,,,,,,,,31,284,8
21560,UTPL_A0279,,Orange-bellied Euphonia,,,,,,,,30,267,8
21561,UTPL_A0348,,Guira Tanager,,,,,,,,73,331,8
21562,UTPL_A0278,,Orange-crowned Euphonia,,,,,,,,30,266,8
21563,UTPL_A0365,,Yellow-tailed Oriole,,,,,,,,37,343,8
21564,UTPL_A0426,,Black-cheeked Woodpecker,,,,,,,,55,399,8
21565,UTPL_A0534,,House Sparrow,,,,,,,,49,520,8
21566,UTPL_A0276,,Thick-billed Euphonia,,,,,,,,30,265,1
